ArtifactGroup,ArtifactPath,Purpose,CurrentStatus,Notes
pdf,pdf/top-level.pdf,"Top-level schematic PDF",hierarchy-exportable,"Contains real hierarchical sheet blocks plus top-level system notes"
pdf,pdf/io-board.pdf,"I/O board schematic PDF",symbol-populated-exportable,"Contains first-pass symbol population and interface labels; pin-level cleanup still pending"
pdf,pdf/tank-driver-recovery.pdf,"Tank driver/recovery schematic PDF",symbol-populated-exportable,"Contains first-pass symbol population and interface labels; pin-level wiring still pending"
pdf,pdf/ext-tank-routing.pdf,"Ext routing schematic PDF",symbol-populated-exportable,"Contains first-pass symbol population and interface labels; pin-level wiring still pending"
pdf,pdf/crossfade-feedback-wet.pdf,"Crossfade/feedback/wet schematic PDF",symbol-populated-exportable,"Contains first-pass symbol population and interface labels; pin-level wiring still pending"
pdf,pdf/filter-clipper.pdf,"Filter/clipper schematic PDF",symbol-populated-exportable,"Contains first-pass symbol population and interface labels; pin-level wiring still pending"
pdf,pdf/power-backplane.pdf,"Power backplane schematic PDF",symbol-populated-exportable,"Contains first-pass symbol population plus rail-anchor labels; pin-level wiring still pending"
erc,erc/top-level-erc.json,"Machine-readable ERC output",intermediate-with-known-errors,"Current report is expected to flag dangling interface labels until real wires and symbols are placed"
erc,erc/top-level-erc.txt,"Human-readable ERC report",intermediate-with-known-errors,"Current report now mixes top-level sheet-pin disconnects with child-sheet label/wire incompleteness"
netlist,netlist/top-level.net,"KiCad sexpr netlist",hierarchy-exportable,"Now includes sheet paths for all six child sheets"
bom,bom/top-level.csv,"CLI-exported BOM",partially-populated-exportable,"Now includes the power-backplane fixed refs; still sparse until the audio sheets are populated"
pcb,pcb/io-board.kicad_pcb,"I/O board placement scaffold",placement-scaffold,"160 mm x 75 mm board with 50 electrical footprints and four M3 mounting holes; placement scaffold only, no routing yet"
pcb,pcb/power-backplane.kicad_pcb,"Power/backplane placement scaffold",placement-scaffold,"150 mm x 95 mm board with 14 electrical footprints and four M3 mounting holes; placement scaffold only, no routing yet"
pcb,pcb/ext-tank-routing.kicad_pcb,"External tank routing placement scaffold",placement-scaffold,"120 mm x 80 mm board with 12 electrical footprints and four M3 mounting holes; placement scaffold only, no routing yet"
pcb,pcb/crossfade-feedback-wet.kicad_pcb,"Crossfade/feedback/wet placement scaffold",placement-scaffold,"100 mm x 70 mm board with 8 electrical footprints and four M3 mounting holes; placement scaffold only, no routing yet"
pcb,pcb/filter-clipper.kicad_pcb,"Filter/clipper placement scaffold",placement-scaffold,"140 mm x 90 mm board with 19 electrical footprints and four M3 mounting holes; placement scaffold only, no routing yet"
pcb,pcb/tank-driver-recovery.kicad_pcb,"Tank driver/recovery placement scaffold",placement-scaffold,"170 mm x 110 mm board with 11 electrical footprints and four M3 mounting holes; placement scaffold only, no routing yet"
drc,drc/io-board-drc.json,"Machine-readable I/O board DRC",placement-clean,"Current placement scaffold has 0 DRC violations and 0 unconnected items"
drc,drc/power-backplane-drc.json,"Machine-readable power/backplane DRC",placement-clean,"Current placement scaffold has 0 DRC violations and 0 unconnected items"
drc,drc/ext-tank-routing-drc.json,"Machine-readable ext routing DRC",placement-clean,"Current placement scaffold has 0 DRC violations and 0 unconnected items"
drc,drc/crossfade-feedback-wet-drc.json,"Machine-readable crossfade/feedback/wet DRC",placement-clean,"Current placement scaffold has 0 DRC violations and 0 unconnected items"
drc,drc/filter-clipper-drc.json,"Machine-readable filter/clipper DRC",placement-clean,"Current placement scaffold has 0 DRC violations and 0 unconnected items"
drc,drc/tank-driver-recovery-drc.json,"Machine-readable tank driver/recovery DRC",placement-clean,"Current placement scaffold has 0 DRC violations and 0 unconnected items"
script,export-rev-a-release.ps1,"Repeatable release/export script",ready,"Validated against the current schematic plus PCB placement scaffold export state"
script,place-rev-a-board-footprints.py,"Repeatable PCB placement script",ready,"Imports currently assigned schematic footprints into the six board files using KiCad Python"
